case,i,x,y,z
input,0,0,0,0
input,1,50,50,50
input,2,100,100,20
input,3,250,150,60
input,4,500,250,100
affine_forward,0,-7.16376,-14.0021,8.34509
affine_forward,1,37.3356076,43.8347014,37.8484471
affine_forward,2,82.9516954,81.3447097,6.69367269
affine_forward,3,219.420753,138.793592,28.9403374
affine_forward,4,447.002178,242.451495,42.9418139
affine_inverse,0,7.9712571,17.7245873,-7.03322411
affine_inverse,1,64.0704931,51.9238817,66.4008028
affine_inverse,2,119.11105,114.709376,40.7926192
affine_inverse,3,283.922407,150.111734,100.843161
affine_inverse,4,558.593554,236.394656,171.924744
warp_forward,0,-4.69994369,-12.7244977,9.8813999
warp_forward,1,41.4777266,47.0413701,45.5219222
warp_forward,2,83.5526476,88.4202517,26.8150374
warp_forward,3,216.272107,141.757059,46.9529874
warp_forward,4,444.617126,248.87099,66.5127818
warp_inverse,0,nan,nan,nan
warp_inverse,1,59.8243971,51.5313057,55.5697697
warp_inverse,2,120.494012,114.299884,11.1356431
warp_inverse,3,286.732448,152.205061,76.9910731
warp_inverse,4,nan,nan,nan
